country,channel,current_metrics_time,current_volume_time,analysis_period,category,brand,currency,volume_unit,pack_name,current_volume,channel_pack_mix,price_elasticity,current_price_per_volume,current_price_per_pack,current_volume_per_pack,distribution_type,current_distribution,distribution_elasticity,current_trade,trade_elasticity,input_trade,trade_type
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCooking Oats,ZAR,KG,750gm - 1kg,58699.0,90.70946206981812,-0.7501658112265457,34.9402625768752,34.9402625768752,1.0,TDP,36.7884615384615,0.5582607784823898,0.00792861193479194,1.3844494686335276,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCorn,ZAR,KG,Total,552244.55,100.0,-5.342306587972362,46.3765049994608,43.0644695443379,0.928583763369805,TDP,266.971810244628,-1.0,0.0783433178927246,5.861723146937215,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCorn,ZAR,KG,400 - 500gm,52118.5,9.43757616077877,-3.812259718286559,69.7742100597676,34.8871050298838,0.5,TDP,53.7115384615385,-1.0,0.000131726263798906,24.987905292196498,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCorn,ZAR,KG,500 - 750gm,9507.75,1.7216557411023792,-1.0,63.4416144724041,47.5812108543031,0.75,TDP,10.7884615384615,-1.0,0.000387371636715628,-1.0,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,BokomoCorn,ZAR,KG,750gm - 1kg,490618.0,88.84071377435956,-5.675098483750853,43.5602487373068,44.7286577180506,1.0268228261916,TDP,77.5384615384615,-1.0,0.0749856882926262,3.8608419663029,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,NatureSource,ZAR,KG,Total,382524.75,100.0,-1.5639256994050834,78.5286034929766,61.5919526667377,0.784325072993898,TDP,302.065898785251,0.6383423266820775,0.0136896866182183,2.512533102860976,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,NatureSource,ZAR,KG,400 - 500gm,4782.0,1.2501151886250497,-1.0,91.2427772898369,45.6213886449184,0.5,TDP,19.3461538461538,-1.0,0.000730839208474914,-1.0,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,NatureSource,ZAR,KG,500 - 750gm,301345.5,78.77803985232327,-0.9589269103017624,80.6676139348356,60.5073365401369,0.750082140634723,TDP,389.634615384615,0.6262181778069527,0.0205713217336006,1.6360713316373998,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,NatureSource,ZAR,KG,750gm - 1kg,76395.0,19.971256761817372,-4.006699579260848,69.2950343216179,69.2950343216179,1.0,TDP,67.4423076923077,0.7391153377589819,0.000341753913654522,6.072455440855791,-1.0,Promo
RSA,PNP,2021-04-01,CY 2020,May 2019 to Apr 2021,Cereals,Otees,ZAR,KG,Total,206292.45,100.0,-1.5639256994050834,114.398989415269,44.8381201983546,0.391945072483043,TDP,143.739216765799,0.6383423266820775,0.00792835538404952,0.01976515999883196,-1.0,Promo
